District,WAT,HOV3,HOV2,Walk,SOV,Bike,SB,PNR,KNR
1,4902,6113,7892,17125,14500,2285,193,202,232
2,5071,11176,14975,13790,26889,5037,616,538,603
3,4502,20821,27630,10912,45844,6505,1684,787,1059
4,4296,37592,50488,10663,75075,9593,5702,1208,1568
5,4689,40340,54064,16772,86480,8412,3957,1010,1216
6,2204,15671,20929,10313,31858,3189,1747,450,524
7,8,85,102,47,212,16,5,0,0
8,4947,28187,37034,13113,58383,5551,2792,602,821
9,1783,17687,22658,4477,36388,2611,1956,484,543
10,5081,39063,49963,13886,68700,5837,4292,1100,1292
11,2609,18879,24186,6707,37760,3367,2001,506,592
12,3713,25579,33347,10365,49579,4624,3218,965,1051
13,2363,20641,27601,9074,46710,3955,1904,497,492
14,2068,13974,18819,5718,32645,3434,1204,367,456
15,6540,58479,76393,21794,113470,13203,7283,1846,2166
16,0,3,1,0,3,0,0,0,0
17,2,60,82,7,205,10,21,4,1
18,4741,41655,54764,13514,82714,7315,6206,1387,1333
19,4027,33322,43999,10310,70501,6691,5415,1417,1517
20,216,2350,3128,537,5130,359,280,66,42
21,2219,22759,29869,7464,47039,5132,4032,850,802
22,9331,30101,39571,36321,71542,8403,1758,847,859
23,4808,32640,42800,12878,66895,7824,3305,970,1526
24,1728,20629,27635,4874,45013,4409,3509,850,596
25,2076,19145,25997,6468,46163,4684,2655,848,687
26,340,6944,9828,1519,20135,1425,1276,332,143
27,591,9081,12274,2022,20545,1541,1535,292,223
28,80,1120,1669,169,3172,133,280,38,12
29,3,395,508,30,813,12,85,24,1
30,105,1548,2214,144,3839,177,357,95,47
31,0,16,24,1,42,0,7,0,0
32,2922,24217,32552,8850,54414,6063,2989,930,905
33,913,13417,18167,5201,29806,2939,2116,544,308
34,25,927,1226,56,3126,105,53,46,4
36,6,48,98,2,310,14,5,6,0
37,0,30,57,1,212,14,8,8,0
38,0,152,195,8,339,4,38,4,0
39,0,94,111,17,301,7,27,12,0
40,0,269,421,15,687,14,120,8,0
41,2860,45256,59940,16922,98224,5724,6679,1373,1007
42,316,15979,21573,5325,36827,1178,3526,906,97
43,30,19528,27571,9263,43592,2056,4052,773,4
44,2548,48231,65249,19119,107784,5839,7071,1261,912
45,499,33182,45908,13215,70491,3285,6401,1237,126
46,0,11544,15538,4537,24170,1390,2501,442,0
47,0,340,508,28,936,14,105,14,0
48,0,135,155,12,291,13,30,4,0
49,0,341,529,24,1097,11,130,53,0
50,0,229,326,10,572,5,117,32,0
51,0,2369,3132,111,5850,31,981,246,0
52,0,14391,19838,952,36745,603,5044,1116,0
53,0,4491,6221,270,11661,89,1814,316,0
54,0,8739,12291,2503,24102,538,2735,1075,0
55,0,18114,24368,1203,45752,458,7081,1219,0
56,0,3771,5155,206,8838,59,1814,871,0
57,63,18330,24622,3494,42654,1060,6036,1037,37
58,0,4877,7281,1057,13014,218,2033,675,0
59,0,4704,6102,508,12396,99,1564,852,0
